@RELATION Weka

@ATTRIBUTE    charlength  REAL
@ATTRIBUTE    currencycount  REAL
@ATTRIBUTE    numstring  REAL
@ATTRIBUTE    freqword  REAL
@ATTRIBUTE    score   {ham,spam}

@data
111,0,0,1,ham
29,0,0,1,ham
155,0,6,3,spam
49,0,0,2,ham
61,0,0,2,ham
148,1,3,2,spam
77,0,0,2,ham
160,0,1,3,ham
158,1,4,2,spam
154,0,2,2,spam
109,0,0,1,ham
136,0,9,3,spam
156,1,8,1,spam
196,0,0,3,ham
35,0,0,1,ham
149,0,0,2,spam
26,0,0,1,ham
81,0,1,2,ham
58,0,0,2,ham
156,0,8,2,spam
41,0,0,1,ham
49,0,1,2,ham
53,0,0,1,ham
88,0,1,2,ham
57,0,0,1,ham
144,0,0,2,ham
30,0,0,1,ham
134,0,0,5,ham
75,0,0,1,ham
64,0,0,1,ham
130,0,0,2,ham
189,0,2,3,ham
29,0,0,1,ham
84,0,0,2,ham
159,1,1,2,spam
123,0,2,2,ham
47,0,0,1,ham
28,0,0,1,ham
27,0,0,1,ham
155,0,0,3,ham
82,0,0,1,ham
142,0,0,5,ham
172,0,2,2,spam
19,0,0,1,ham
72,0,0,2,ham
32,0,0,1,ham
45,0,0,1,ham
31,0,0,1,ham
67,0,0,1,ham
148,0,0,3,ham
58,0,0,2,ham
124,0,0,3,ham
80,0,0,1,ham
289,0,0,6,ham
120,0,0,2,spam
76,0,0,1,ham
161,0,10,1,spam
34,0,0,1,ham
22,0,0,1,ham
40,0,0,1,ham
108,1,1,2,ham
48,0,0,3,ham
25,0,0,1,ham
56,0,0,1,ham
110,0,0,2,ham
153,1,2,2,spam
122,0,0,1,ham
161,2,10,3,spam
78,0,0,1,spam
34,0,0,1,ham
46,0,0,1,ham
29,0,0,1,ham
45,0,0,1,ham
42,0,0,1,ham
20,0,0,1,ham
43,0,0,1,ham
73,0,0,2,ham
50,0,0,2,ham
42,0,0,1,ham
76,0,0,1,ham
22,0,0,1,ham
32,0,0,1,ham
32,0,0,2,ham
36,0,0,1,ham
14,0,0,1,ham
55,0,0,1,ham
121,0,1,2,ham
144,0,0,2,ham
42,0,0,1,ham
41,0,0,1,ham
62,0,0,1,ham
195,0,1,3,ham
141,0,1,5,ham
139,2,7,1,spam
107,0,1,1,ham
158,0,6,3,spam
33,0,0,1,ham
51,0,0,2,ham
178,0,0,2,ham
31,0,0,1,ham
57,0,0,1,ham
81,0,0,2,ham
76,0,1,1,ham
160,0,1,3,ham
183,0,0,3,ham
44,0,0,2,ham
95,0,0,2,ham
43,0,0,1,ham
82,0,0,2,ham
115,0,0,2,ham
30,0,0,1,ham
40,0,0,2,ham
31,0,0,1,ham
96,0,1,2,ham
159,1,5,1,spam
143,0,0,2,ham
156,0,1,2,ham
153,1,6,3,spam
72,0,0,1,ham
86,0,0,1,ham
144,0,5,1,spam
157,1,8,1,spam
53,0,0,1,ham
156,1,4,2,spam
52,0,1,1,ham
40,0,0,1,ham
20,0,0,1,ham
244,0,0,3,ham
22,0,0,1,ham
107,0,0,3,ham
28,0,0,1,ham
9,0,0,1,ham
39,0,0,1,ham
25,0,0,1,ham
126,1,3,1,spam
162,0,6,2,spam
38,0,0,1,ham
34,0,0,1,ham
46,0,0,1,ham
155,0,1,2,spam
86,0,0,3,ham
33,0,0,1,ham
27,0,0,1,ham
156,0,2,2,ham
42,0,0,2,ham
25,0,0,1,ham
48,0,0,1,ham
159,0,1,3,spam
84,0,0,1,ham
33,0,0,1,ham
30,0,0,1,ham
45,0,0,1,ham
59,0,2,2,ham
25,0,0,1,ham
160,0,1,3,ham
384,0,0,5,ham
28,0,0,1,ham
27,0,0,1,ham
157,0,0,7,ham
124,0,1,2,spam
146,1,5,3,spam
115,0,0,3,ham
64,0,0,2,ham
85,0,0,2,ham
152,0,4,2,spam
155,0,1,3,spam
51,0,0,1,ham
157,1,4,1,spam
74,0,0,1,ham
67,0,0,1,ham
59,0,0,1,ham
50,0,0,2,ham
94,0,1,2,ham
33,0,0,1,ham
105,0,0,1,ham
61,0,0,1,ham
65,0,0,2,ham
26,0,0,1,ham
146,1,0,2,ham
66,0,0,1,ham
126,0,0,2,ham
159,0,1,3,ham
23,0,0,1,ham
65,0,0,2,ham
24,0,0,1,ham
26,0,0,1,ham
152,0,0,5,ham
34,0,0,1,ham
149,2,7,1,spam
55,0,0,1,ham
88,0,0,2,ham
72,0,1,1,spam
185,0,0,3,ham
37,0,0,1,ham
111,0,0,2,ham
92,0,1,2,ham
28,0,0,1,ham
28,0,0,1,ham
64,0,1,1,ham
131,0,0,3,ham
40,0,0,1,ham
28,0,0,1,ham
84,0,0,2,ham
174,0,0,3,ham
24,0,0,1,ham
25,0,1,1,ham
64,0,0,1,ham
156,0,1,2,ham
28,0,0,1,ham
86,0,0,1,ham
39,0,0,1,ham
73,0,0,2,ham
26,0,0,1,ham
23,0,0,1,ham
24,0,0,1,ham
31,0,0,1,ham
58,0,0,1,ham
48,0,0,1,ham
41,0,0,1,ham
32,0,1,1,ham
159,0,0,4,ham
25,0,0,1,ham
161,0,0,2,ham
22,0,0,1,ham
119,0,0,2,ham
143,1,9,1,spam
69,0,0,1,ham
137,0,2,3,spam
30,0,0,1,ham
165,0,0,2,ham
34,0,0,1,ham
109,0,0,2,ham
37,0,0,1,ham
33,0,0,1,ham
48,0,0,1,ham
157,0,4,2,spam
50,0,0,1,ham
65,0,0,2,ham
38,0,0,1,ham
145,0,0,3,ham
145,0,3,3,spam
51,0,0,1,ham
45,0,0,1,ham
83,0,0,2,ham
155,0,1,2,ham
37,0,0,1,ham
78,0,0,4,ham
30,0,0,1,ham
31,0,1,1,ham
146,0,0,2,ham
150,0,9,1,spam
44,0,1,1,ham
179,0,0,2,ham
27,0,0,1,ham
179,0,2,3,ham
38,0,0,1,ham
97,0,0,1,ham
43,0,0,1,ham
36,0,0,2,ham
154,0,2,2,spam
74,0,0,2,ham
3,0,0,1,ham
85,0,0,2,ham
51,0,1,1,ham
121,0,3,3,spam
26,0,0,1,ham
35,0,0,1,ham
47,0,0,1,ham
159,0,8,3,spam
47,0,0,1,ham
133,0,0,1,spam
53,0,0,1,ham
147,0,0,2,ham
155,0,4,3,spam
37,0,1,1,ham
31,0,0,1,ham
8,0,0,1,ham
38,0,0,1,ham
30,0,0,1,ham
47,0,0,1,ham
56,0,0,2,ham
22,0,0,1,ham
141,0,0,2,ham
29,0,0,1,ham
7,0,0,1,ham
121,0,0,1,ham
58,0,0,1,ham
4,0,0,1,ham
148,0,1,2,ham
160,0,0,4,ham
152,0,0,2,ham
37,0,0,1,ham
55,0,0,1,ham
21,0,1,1,ham
22,0,0,1,ham
50,0,0,1,ham
159,0,4,2,spam
67,0,0,1,ham
153,0,0,2,ham
51,0,0,1,ham
67,0,0,1,ham
88,0,0,2,ham
157,0,0,3,ham
91,0,0,1,ham
24,0,0,1,ham
146,0,7,2,spam
57,0,0,2,ham
26,0,0,1,ham
71,0,0,1,ham
138,0,1,2,spam
55,0,0,2,ham
156,0,3,2,ham
134,1,8,1,spam
119,0,0,3,ham
142,0,2,4,ham
41,0,0,1,ham
26,0,0,1,ham
119,0,1,2,ham
46,0,0,1,ham
157,0,2,3,spam
23,0,0,1,ham
51,0,0,1,ham
62,0,0,1,ham
107,0,4,2,ham
157,0,0,2,ham
30,0,0,1,ham
32,0,0,1,ham
31,0,0,1,ham
79,0,0,1,ham
32,0,0,1,ham
86,0,0,1,ham
22,0,0,1,ham
76,0,0,1,ham
128,0,5,2,spam
232,0,0,3,ham
159,1,4,1,spam
45,0,0,1,ham
57,0,0,1,ham
26,0,0,1,ham
22,0,0,1,ham
41,0,0,1,ham
28,0,0,1,ham
151,0,1,2,ham
29,0,0,1,ham
34,0,0,1,ham
52,0,0,1,ham
33,0,0,1,ham
85,0,0,2,ham
31,0,0,1,ham
111,0,3,1,spam
78,0,0,2,ham
50,0,0,1,ham
63,0,0,2,ham
148,0,0,2,ham
129,0,0,2,ham
45,0,1,2,ham
202,0,0,4,ham
150,0,9,1,spam
148,0,8,2,spam
168,0,0,3,ham
85,0,0,2,ham
38,0,0,2,ham
15,0,0,1,ham
31,0,0,1,ham
88,0,0,2,ham
160,0,0,2,ham
50,0,0,1,ham
165,0,5,3,spam
